"Localidade";"Ano";"Densidade Demográfica (hab/km²)";"Crimes de Estupro ";"Crimes de Roubo "
"Jaboti";"2021";"38,37";"5";"2"
"Jacarezinho";"2021";"65,20";"28";"48"
"Jaguapitã";"2021";"29,03";"12";"14"
"Jaguariaíva";"2021";"24,32";"28";"91"
"Jandaia do Sul";"2021";"112,58";"14";"30"
"Janiópolis";"2021";"14,60";"2";"8"
"Japira";"2021";"26,29";"2";"4"
"Japurá";"2021";"57,88";"2";"-"
"Jardim Alegre";"2021";"26,63";"6";"9"
"Jardim Olinda";"2021";"10,15";"-";"-"
"Jataizinho";"2021";"79,56";"5";"36"
"Jesuítas";"2021";"33,08";"2";"2"
"Joaquim Távora";"2021";"41,88";"1";"25"
"Jundiaí do Sul";"2021";"10,14";"4";"5"
"Juranda";"2021";"20,45";"-";"11"
"Jussara";"2021";"34,02";"2";"2"
"Kaloré";"2021";"20,70";"3";"3"
"Lapa";"2021";"23,18";"19";"89"
"Laranjal";"2021";"10,24";"2";"4"
"Laranjeiras do Sul";"2021";"48,07";"27";"22"
"Leópolis";"2021";"11,30";"5";"1"
"Lidianópolis";"2021";"20,65";"2";"1"
"Lindoeste";"2021";"12,97";"2";"2"
"Loanda";"2021";"32,40";"12";"22"
"Lobato";"2021";"20,16";"3";"1"
"Londrina";"2021";"352,08";"219";"1.627"
"Luiziana";"2021";"7,88";"6";"4"
"Lunardelli";"2021";"23,83";"3";"4"
"Lupionópolis";"2021";"40,86";"3";"5"
"Mallet";"2021";"18,21";"5";"2"
"Mamborê";"2021";"16,37";"10";"3"
"Mandaguaçu";"2021";"79,51";"12";"44"
"Mandaguari";"2021";"103,23";"12";"59"
"Mandirituba";"2021";"73,24";"19";"33"
"Manfrinópolis";"2021";"11,36";"5";"-"
"Mangueirinha";"2021";"15,65";"13";"12"
"Manoel Ribas";"2021";"23,64";"11";"6"
"Marechal Cândido Rondon";"2021";"72,37";"33";"56"
"Maria Helena";"2021";"11,47";"4";"5"
"Marialva";"2021";"75,99";"16";"52"
"Marilândia do Sul";"2021";"22,85";"3";"9"
"Marilena";"2021";"30,58";"1";"4"
"Mariluz";"2021";"24,03";"3";"31"
"Maringá";"2021";"897,53";"164";"894"
"Mariópolis";"2021";"28,74";"9";"1"
"Maripá";"2021";"19,61";"5";"4"
"Marmeleiro";"2021";"37,13";"12";"4"
"Marquinho";"2021";"8,51";"2";"1"
"Marumbi";"2021";"22,41";"6";"1"
"Matelândia";"2021";"28,56";"12";"22"
"Matinhos";"2021";"306,63";"34";"116"
"Mato Rico";"2021";"7,93";"-";"1"
"Mauá da Serra";"2021";"102,52";"8";"11"
"Medianeira";"2021";"142,92";"37";"80"
"Mercedes";"2021";"28,42";"3";"1"
"Mirador";"2021";"9,81";"1";"2"
"Miraselva";"2021";"19,85";"-";"-"
"Missal";"2021";"33,07";"5";"6"
"Moreira Sales";"2021";"33,82";"11";"9"
"Morretes";"2021";"23,94";"22";"33"
"Munhoz de Melo";"2021";"29,42";"5";"1"
"Nossa Senhora das Graças";"2021";"21,53";"1";"-"
"Nova Aliança do Ivaí";"2021";"11,84";"3";"1"
"Nova América da Colina";"2021";"26,50";"-";"5"
"Nova Aurora";"2021";"21,55";"11";"7"
"Nova Cantu";"2021";"8,72";"5";"5"
"Nova Esperança";"2021";"69,46";"9";"58"
"Nova Esperança do Sudoeste";"2021";"24,20";"2";"4"
"Nova Fátima";"2021";"28,67";"1";"1"
"Nova Laranjeiras";"2021";"9,48";"14";"3"
"Nova Londrina";"2021";"48,74";"6";"27"
"Nova Olímpia";"2021";"43,35";"1";"1"
"Nova Prata do Iguaçu";"2021";"30,21";"8";"5"
"Nova Santa Bárbara";"2021";"53,49";"1";"3"
"Nova Santa Rosa";"2021";"40,57";"5";"4"
"Nova Tebas";"2021";"9,63";"1";"3"
"Novo Itacolomi";"2021";"17,61";"-";"-"
"Ortigueira";"2021";"8,96";"22";"109"
"Ourizona";"2021";"19,51";"2";"4"
"Ouro Verde do Oeste";"2021";"20,52";"1";"3"
"Paiçandu";"2021";"246,05";"24";"59"
"Palmas";"2021";"33,55";"39";"82"
"Palmeira";"2021";"23,17";"24";"82"
"Palmital";"2021";"15,53";"10";"13"
"Palotina";"2021";"49,63";"33";"25"
"Paraíso do Norte";"2021";"69,61";"4";"20"
"Paranacity";"2021";"33,60";"4";"5"
"Paranaguá";"2021";"194,45";"62";"547"
"Paranapoema";"2021";"18,38";"3";"1"
"Paranavaí";"2021";"74,72";"60";"107"
"Pato Bragado";"2021";"42,12";"3";"7"
"Pato Branco";"2021";"157,66";"49";"66"
"Paula Freitas";"2021";"13,96";"3";"3"
"Paulo Frontin";"2021";"20,04";"2";"3"
"Peabiru";"2021";"29,89";"9";"17"
"Perobal";"2021";"15,19";"-";"6"
"Pérola";"2021";"48,59";"2";"8"
"Pérola d'Oeste";"2021";"30,56";"2";"4"
"Piên";"2021";"50,77";"3";"9"
"Pinhais";"2021";"2.215,05";"57";"672"
"Pinhal de São Bento";"2021";"27,94";"4";"1"
"Pinhalão";"2021";"28,71";"5";"6"
"Pinhão";"2021";"16,33";"19";"22"
"Piraí do Sul";"2021";"19,18";"11";"31"
"Piraquara";"2021";"519,61";"85";"223"
"Pitanga";"2021";"17,83";"22";"41"
"Pitangueiras";"2021";"26,70";"1";"3"
"Planaltina do Paraná";"2021";"12,00";"1";"1"
"Planalto";"2021";"38,59";"17";"5"
"Ponta Grossa";"2021";"175,67";"199";"881"
"Pontal do Paraná";"2021";"141,25";"25";"90"
"Porecatu";"2021";"43,20";"-";"14"
"Porto Amazonas";"2021";"26,23";"-";"9"
"Porto Barreiro";"2021";"8,55";"1";"2"
"Porto Rico";"2021";"11,28";"1";"2"
"Porto Vitória";"2021";"19,28";"-";"-"
"Prado Ferreira";"2021";"24,89";"4";"4"
"Pranchita";"2021";"22,29";"3";"1"
"Presidente Castelo Branco";"2021";"34,89";"4";"15"
"Primeiro de Maio";"2021";"27,12";"7";"6"
"Prudentópolis";"2021";"23,38";"23";"27"
"Quarto Centenário";"2021";"13,71";"2";"7"
"Quatiguá";"2021";"66,52";"5";"8"
"Quatro Barras";"2021";"134,24";"18";"59"
"Quatro Pontes";"2021";"34,95";"2";"7"
"Quedas do Iguaçu";"2021";"42,17";"28";"31"
